OUI,Manufacturer,Country
001B62,"JHT Optoelectronics Co.,Ltd.",CN
001B3F,ProCurve Networking by HP,SG
001B41,"General Infinity Co.,Ltd.",TW
001B3E,"Curtis, Inc.",US
001B37,Computec Oy,FI
001B10,"ShenZhen Kang Hui Technology Co.,ltd",CN
001B0B,Phidgets Inc.,CA
001B0C,"Cisco Systems, Inc",US
001B23,SimpleComTools,US
001B18,"Tsuken Electric Ind. Co.,Ltd",JP
001AF6,"Woven Systems, Inc.",US
001AF9,AeroVIronment (AV Inc),US
001AE0,Mythology Tech Express Inc.,TW
001B50,"Nizhny Novgorod Factory named after M.Frunze, FSUE (NZiF)",RU
001B30,Solitech Inc.,US
001B47,Futarque A/S,DK
001B45,"ABB AS, Division Automation Products",NO
001ABE,COMPUTER HI-TECH INC.,JP
001AC1,3Com Ltd,GB
001ABB,Fontal Technology Incorporation,TW
001ABD,Impatica Inc.,CA
001AAE,Savant Systems LLC,US
001A58,CCV Deutschland GmbH - Celectronic eHealth Div.,DE
001A5E,"Thincom Technology Co.,Ltd",TW
001A87,Canhold International Limited,HK
001A88,"Venergy,Co,Ltd",CN
001A74,Procare International Co,TW
001AB4,FFEI Ltd.,GB
001AB5,Home Network System,KR
001A79,TELECOMUNICATION TECHNOLOGIES LTD.,UA
001AAA,Analogic Corp.,US
001A8B,"CHUNIL ELECTRIC IND., CO.",KR
001A8D,AVECS Bergen GmbH,DE
001A95,"Hisense Mobile Communications Technoligy Co.,Ltd.",CN
001A81,Zelax,RU
001AD7,"Christie Digital Systems, Inc.",CA
001ACD,Tidel Engineering LP,US
001AE2,"Cisco Systems, Inc",US
001AE7,"Aztek Networks, Inc.",US
001AC9,"SUZUKEN CO.,LTD",JP
001AA4,Future University-Hakodate,JP
001A9F,A-Link Ltd,FI
001A24,Galaxy Telecom Technologies Ltd,CN
001A20,CMOTECH Co. Ltd.,KR
001A19,Computer Engineering Limited,NZ
001A18,Advanced Simulation Technology inc.,US
001A5C,Euchner GmbH+Co. KG,DE
001A5B,"NetCare Service Co., Ltd.",JP
001A4E,NTI AG / LinMot,CH
001A52,Meshlinx Wireless Inc.,US
001A13,"Wanlida Group Co., LTD",CN
001A0F,ARTECHE GROUP,ES
001A43,Logical Link Communications,US
001A47,"Agami Systems, Inc.",US
001A03,"Angel Electronics Co., Ltd.",TW
0019F9,TDK-Lambda,US
0019F2,Teradyne K.K.,JP
001A2F,"Cisco Systems, Inc",US
001A2D,The Navvo Group,US
00198D,"Ocean Optics, Inc.",US
001985,"IT Watchdogs, Inc",US
001986,Cheng Hongjian,US
0019A9,"Cisco Systems, Inc",US
0019AE,Hopling Technologies b.v.,NL
0019AF,"Rigol Technologies, Inc.",CN
0019A7,ITU-T,CH
0019DE,MOBITEK,US
0019E5,"Lynx Studio Technology, Inc.",US
0019DB,"MICRO-STAR INTERNATIONAL CO., LTD.",TW
00199E,Nifty,JP
00196A,MikroM GmbH,DE
0019CE,Progressive Gaming International,US
0019BD,New Media Life,KR
00196B,Danpex Corporation,US
00199F,DKT A/S,DK
0018FF,PowerQuattro Co.,HU
0018F4,"EO TECHNICS Co., Ltd.",KR
0018F6,Thomson Telecom Belgium,BE
0018FC,Altec Electronic AG,CH
0018F5,Shenzhen Streaming Video Technology Company Limited,CN
0018F9,"VVOND, Inc.",US
00193B,LigoWave,US
001935,DUERR DENTAL AG,DE
001932,Gude Systems GmbH,DE
001931,Balluff GmbH,DE
001914,"Winix Co., Ltd",KR
001901,F1MEDIA,KR
001906,"Cisco Systems, Inc",US
00193D,GMC Guardian Mobility Corp.,CA
001910,Knick Elektronische Messgeraete GmbH & Co. KG,DE
001913,Chuang-Yi Network Equipment Co.Ltd.,CN
001951,"NETCONS, s.r.o.",SK
0018FA,"Yushin Precision Equipment Co.,Ltd.",JP
0018EA,Alltec GmbH,DE
0018E8,Hacetron Corporation,TW
001957,Saafnet Canada Inc.,CA
001956,"Cisco Systems, Inc",US
001958,"Bluetooth SIG, Inc.",US
0018E3,"Visualgate Systems, Inc.",CA
001899,"ShenZhen jieshun Science&Technology Industry CO,LTD.",CN
00189F,Lenntek Corporation,TW
0018B7,"D3 LED, LLC",US
0018C1,Almitec Informática e Comércio,BR
0018C4,Raba Technologies LLC,US
0018C9,EOps Technology Limited,HK
0018BC,ZAO NVP Bolid,RU
00185D,"TAIGUEN TECHNOLOGY (SHEN-ZHEN) CO., LTD.",CN
00185E,Nexterm Inc.,JP
00186D,Zhenjiang Sapphire Electronic Industry CO.,CN
00186F,Setha Industria Eletronica LTDA,BR
001875,AnaCise Testnology Pte Ltd,SG
0018D8,ARCH METER Corporation,TW
0018D9,"Santosha Internatonal, Inc",US
0018CF,Baldor Electric Company,US
00188E,"Ekahau, Inc.",FI
001883,FORMOSA21 INC.,TW
001895,Hansun Technologies Inc.,CN
00184A,"Catcher, Inc.",US
00184B,"Las Vegas Gaming, Inc.",US
0017BB,Syrinx Industrial Electronics,NL
0017BC,Touchtunes Music Corporation,CA
0017C1,CM Precision Technology LTD.,TW
0017B2,SK Telesys,KR
0017B1,"ACIST Medical Systems, Inc.",US
0017E1,"DACOS Technologies Co., Ltd.",KR
0017E0,"Cisco Systems, Inc",US
0017D2,THINLINX PTY LTD,AU
0017C7,MARA Systems Consulting AB,SE
001814,Mitutoyo Corporation,JP
001817,"D. E. Shaw Research, LLC",US
001811,"Neuros Technology International, LLC.",US
0017DE,Advantage Six Ltd,GB
0017D7,ION Geophysical Corporation Inc.,US
001837,"Universal ABIT Co., Ltd.",TW
001822,"CEC TELECOM CO.,LTD.",CN
001820,w5networks,US
0017B8,"NOVATRON CO., LTD.",KR
001828,e2v technologies (UK) ltd.,GB
001835,Thoratec / ITC,US
00180E,Avega Systems,AU
001801,"Actiontec Electronics, Inc",US
0017F3,Harris Corporation,US
001750,"GSI Group, MicroE Systems",US
001755,GE Security,US
001751,Online Corporation,TW
0017A3,MIX s.r.l.,IT
0017A6,"YOSIN ELECTRONICS CO., LTD.",TW
00179C,DEPRAG SCHULZ GMBH u. CO.,DE
001796,Rittmeyer AG,CH
001775,TTE Germany GmbH,DE
001776,"Meso Scale Diagnostics, LLC",US
001779,QuickTel,EG
001767,Earforce AS,NO
00177C,Smartlink Network Systems Limited,IN
001781,"Greystone Data System, Inc.",US
001785,Sparr Electronics Ltd,IN
00172C,TAEJIN INFOTECH,KR
00174C,Millipore,FR
001745,"INNOTZ CO., Ltd",KR
001748,Neokoros Brasil Ltda,BR
00178D,"Checkpoint Systems, Inc.",US
00178E,Gunnebo Cash Automation AB,SE
001763,Essentia S.p.A.,IT
00175D,Dongseo system.,KR
001739,Bright Headphone Electronics Company,TW
00171D,DIGIT,IT
001718,Vansco Electronics Oy,FI
001719,"Audiocodes USA, Inc",US
0016FF,Wamin Optocomm Mfg Corp,TW
001701,"KDE, Inc.",KR
00170E,"Cisco Systems, Inc",US
001705,Methode Electronics,US
0016DA,Futronic Technology Co. Ltd.,HK
0016D4,"Compal Communications, Inc.",TW
0016D7,Sunways AG,DE
0016D1,ZAT a.s.,CZ
001711,Cytiva Sweden AB,SE
001717,Leica Geosystems AG,CH
001715,Qstik,GB
0016C5,"Shenzhen Xing Feng Industry Co.,Ltd",CN
0016CC,Xcute Mobile Corp.,TW
0016EE,Royaldigital Inc.,TW
0016ED,"Utility, Inc",US
0016DE,FAST Inc,US
001672,Zenway enterprise ltd,TW
001671,Symphox Information Co.,TW
001669,MRV Communication (Networks) LTD,US
001668,Eishin Electronics,JP
001655,"FUHO TECHNOLOGY Co., LTD",TW
001646,"Cisco Systems, Inc",US
001648,SSD Company Limited,JP
0016AA,Kei Communication Technology Inc.,JP
0016A8,"CWT CO., LTD.",TW
0016A6,Dovado FZ-LLC,AE
0016A2,"CentraLite Systems, Inc.",US
00167D,"Sky-Line Information Co., Ltd.",TW
001677,Bihl + Wiedemann GmbH,DE
00165A,Harman Specialty Group,US
001659,Z.M.P. RADWAG,PL
0016C7,"Cisco Systems, Inc",US
001695,AVC Technology (International) Limited,HK
0015DF,Clivet S.p.A.,IT
0015D8,Interlink Electronics,US
0015D2,Xantech Corporation,US
0015D4,Emitor AB,SE
0015D6,OSLiNK Sp. z o.o.,PL
0015D5,NICEVT,RU
0015F1,KYLINK Communications Corp.,TW
0015EA,Tellumat (Pty) Ltd,ZA
0015E2,Dr.Ing. Herbert Knauer GmbH,DE
0015E1,Picochip Ltd,GB
00160C,LPL  DEVELOPMENT S.A. DE C.V,MX
001612,"Otsuka Electronics Co., Ltd.",JP
00160B,TVWorks LLC,US
001603,"COOLKSKY Co., LTD",KR
001609,"Unitech electronics co., ltd.",TW
001640,Asmobile Communication Inc.,TW
00163C,Rebox B.V.,NL
001619,Lancelan Technologies S.L.,ES
00161D,"Innovative Wireless Technologies, Inc.",US
001611,Altecon Srl,IT
0015C7,"Cisco Systems, Inc",US
001625,"Impinj, Inc.",US
001623,Interval Media,US
0015F5,Sustainable Energy Systems,CA
00158B,Park Air Systems Ltd,GB
001586,"Xiamen Overseas Chinese Electronic Co., Ltd.",CN
00157E,Weidmüller Interface GmbH & Co. KG,DE
001580,U-WAY CORPORATION,TW
00157C,"Dave Networks, Inc.",US
00157F,"ChuanG International Holding CO.,LTD.",US
00153B,EMH metering GmbH & Co. KG,DE
001533,"NADAM.CO.,LTD",KR
001537,Ventus Networks,US
001534,"A Beltrónica-Companhia de Comunicações, Lda",PT
00159D,Tripp Lite,US
001592,Facom UK Ltd (Melksham),US
00155C,Dresser Wayne,US
001559,"Securaplane Technologies, Inc.",US
001557,Olivetti,IT
001554,Atalum Wireless S.A.,ES
0015B3,Caretech AB,SE
0015AA,"Rextechnik International Co.,",TW
00153F,Alcatel Alenia Space Italia,IT
001576,LABiTec - Labor Biomedical Technologies GmbH,
0015BE,Iqua Ltd.,US
00155E,Morgan Stanley,US
001502,BETA tech,FR
0014FD,Thecus Technology Corp.,TW
0014FC,"Extandon, Inc.",US
0014F8,Scientific Atlanta,US
0014F7,"CREVIS Co., LTD",KR
00150F,mingjong,TW
00150B,SAGE INFOTECH LTD.,TW
001507,Renaissance Learning Inc,US
001508,Global Target Enterprise Inc,TW
0014E5,Alticast,KR
0014E0,LET'S Corporation,JP
0014E2,datacom systems inc.,US
0014E4,"infinias, LLC",US
001518,"Shenzhen 10MOONS Technology Development CO.,Ltd",CN
001515,Leipold+Co.GmbH,DE
001526,Remote Technologies Inc,US
0014F1,"Cisco Systems, Inc",US
0014EA,S Digm Inc. (Safe Paradigm Inc.),KR
0014CB,LifeSync Corporation,US
0014C6,Quixant Ltd,GB
0014DB,Elma Trenew Electronic GmbH,DE
0014CC,"Zetec, Inc.",US
001474,K40 Electronics,US
00146F,Kohler Co,US
001466,Kleinhenz Elektronik GmbH,DE
00146B,"Anagran, Inc.",US
00149F,"System and Chips, Inc.",TW
001498,Viking Design Technology,TW
001496,Phonic Corp.,TW
001493,Systimax Solutions,US
00143D,Aevoe Inc.,TW
00143A,RAYTALK INTERNATIONAL SRL,IT
001461,CORONA CORPORATION,JP
001462,"Digiwell Technology, inc",TW
001463,IDCS N.V.,BE
001465,Novo Nordisk A/S,DK
00148D,Cubic Defense Simulation Systems,US
001486,Echo Digital Audio Corporation,US
001482,Aurora Networks,US
001436,Qwerty Elektronik AB,SE
001433,Empower Technologies(Canada) Inc.,CA
001434,"Keri Systems, Inc",US
00147F,Thomson Telecom Belgium,BE
001475,"Wiline Networks, Inc.",US
001455,Coder Electronics Corporation,JP
00144E,SRISA,RU
0014B3,CoreStar International Corp,US
0014B1,Axell Wireless Limited,GB
0013A4,KeyEye Communications,US
0013A7,BATTELLE MEMORIAL INSTITUTE,US
0013A6,Extricom Ltd,IL
00139F,"Electronics Design Services, Co., Ltd.",JP
0013A2,"MaxStream, Inc",US
0013A0,"ALGOSYSTEM Co., Ltd.",JP
001398,"TrafficSim Co.,Ltd",JP
001415,Intec Automation inc.,CA
001410,"Suzhou Keda Technology CO.,Ltd",CN
001417,RSE Informations Technologie GmbH,AT
001408,Eka Systems Inc.,US
001423,J-S Co. NEUROCOM,RU
001425,Galactic Computing Corp.,HK
001419,SIDSA,ES
0013E2,GeoVision Inc.,TW
0013DE,"Adapt4, LLC",US
0013DD,Abbott Diagnostics,US
0013D7,SPIDCOM Technologies SA,FR
0013C7,"IONOS Co.,Ltd.",JP
0013B2,Carallon Limited,GB
0013AD,Sendo Ltd,GB
0013AA,ALS  & TEC Ltd.,RU
0013EE,JBX Designs Inc.,US
0013E5,"TENOSYS, INC.",KR
001402,kk-electronic a/s,DK
0013FF,"Dage-MTI of MC, Inc.",US
0013BC,Artimi Ltd,GB
001384,Advanced Motion Controls,US
00137B,Movon Corporation,KR
00134A,"Engim, Inc.",US
00133A,VadaTech Inc.,US
00132A,Sitronics Telecom Solutions,CZ
00139B,ioIMAGE Ltd.,IL
001396,Acbel Polytech Inc.,TW
001393,"Panta Systems, Inc.",US
00138B,Phantom Technologies LLC,US
001388,WiMedia Alliance,US
001353,HYDAC Filtertechnik GMBH,DE
00134D,Inepro BV,NL
00134B,ToGoldenNet Technology Inc.,TW
001334,"Arkados, Inc.",US
001337,Orient Power Home Network Ltd.,
001332,"Beijing Topsec Network Security Technology Co., Ltd.",CN
00131F,"NxtPhase T&D, Corp.",CA
00136E,Techmetro Corp.,KR
00136D,Tentaculus AB,SE
00136A,Hach Lange Sarl,CH
00130E,Focusrite Audio Engineering Limited,GB
001309,Ocean Broadband Networks,US
001319,"Cisco Systems, Inc",US
00131C,"LiteTouch, Inc.",US
001363,"Verascape, Inc.",US
0012FF,Lely Industries N.V.,NL
001303,GateConnect,DE
0012F9,"URYU SEISAKU, LTD.",JP
001304,Flaircomm Technologies Co. LTD,CN
0012B3,Advance Wireless Technology Corp.,TW
0012B0,Efore Oyj   (Plc),FI
0012A6,Dolby Australia,AU
0012A4,"ThingMagic, LLC",US
0012A9,3Com Ltd,GB
0012DC,SunCorp Industrial Limited,CN
0012D7,"Invento Networks, Inc.",US
0012C4,"Viseon, Inc.",US
0012D0,Gossen-Metrawatt-GmbH,DE
0012E5,"Time America, Inc.",US
0012B8,G2 Microsystems,US
001299,Ktech Telecommunications Inc,US
001280,"Cisco Systems, Inc",US
001275,Sentilla Corporation,US
001276,CG Power Systems Ireland Limited,IE
001271,Measurement Computing Corp,US
001273,Stoke Inc,US
001269,Value Electronics,KR
001264,daum electronic gmbh,DE
001261,"Adaptix, Inc",US
001260,"Stanton Magnetics,inc.",US
00128C,Woodward Governor,US
001293,ABB Switzerland Ltd.,CH
001294,"SUMITOMO ELECTRIC DEVICE INNOVATIONS, INC",JP
001296,Addlogix,US
001258,TechVoIP Sp z o.o.,PL
001250,"Tokyo Aircaft Instrument Co., Ltd.",JP
001252,"Citronix, LLC",US
00127F,"Cisco Systems, Inc",US
00127B,"VIA Networking Technologies, Inc.",TW
001240,"AMOI ELECTRONICS CO.,LTD",CN
00122E,Signal Technology - AISD,US
001231,"Motion Control Systems, Inc.",US
001224,NexQL Corporation,US
00124B,Texas Instruments,NO
00124A,"Dedicated Devices, Inc.",US
001243,"Cisco Systems, Inc",US
001203,ActivNetworks,FR
0011F8,AIRAYA Corp,US
0011F4,woori-net,KR
0011F6,"Asia Pacific Microsystems , Inc.",TW
0011F0,Wideful Limited,
0011F1,QinetiQ Ltd,GB
0011AA,"Uniclass Technology, Co., LTD",TW
0011B1,BlueExpert Technology Corp.,TW
0011DB,Land-Cellular Corporation,US
0011D2,Perception Digital Ltd,HK
0011D9,TiVo,US
0011CF,Thrane & Thrane A/S,DK
0011D4,"NetEnrich, Inc",US
0011D5,"Hangzhou Sunyard System Engineering Co.,Ltd.",CN
0011CC,"Guangzhou Jinpeng Group Co.,Ltd.",CN
0011C7,Raymarine UK Ltd,GB
0011C9,MTT Corporation,JP
001211,Protechna Herbst GmbH & Co. KG,DE
001219,General Datacomm LLC,US
001216,ICP Internet Communication Payment AG,DE
001215,"iStor Networks, Inc.",US
0011A6,Sypixx Networks,US
0011A2,Manufacturing Technology Inc,US
00119E,Solectron Brazil,BR
0011B5,"Shenzhen Powercom Co.,Ltd",CN
0011BB,"Cisco Systems, Inc",US
0011BD,Bombardier Transportation,US
0011ED,802 Global,GB
00111C,Pleora Technologies Inc.,CA
001125,IBM Corp,US
00111F,"Doremi Labs, Inc.",US
00111D,Hectrix Limited,CN
001119,"Solteras, Inc.",US
001184,"Humo Laboratory,Ltd.",JP
00117E,Midmark Corp,US
001152,Eidsvoll Electronics AS,NO
001150,Belkin Corporation,US
001166,"Taelim Electronics Co., Ltd.",KR
001164,ACARD Technology Corp.,TW
001155,Sevis Systems,US
001146,Telecard-Pribor Ltd,UA
00114C,caffeina applied research ltd.,CA
001141,GoodMan Corporation,TW
00118A,Viewtran Technology Limited,CN
001179,Singular Technology Co. Ltd.,TW
001173,SMART Storage Systems,US
00112C,IZT GmbH,DE
000FCF,DataWind Research,CA
000FD2,"EWA Technologies, Inc.",US
000FCE,Kikusui Electronics Corp.,JP
000FA1,Gigabit Systems Inc.,JP
000F99,APAC opto Electronics Inc.,TW
000FE8,"Lobos, Inc.",JP
000FEB,Cylon Controls,IE
000FDC,"Ueda Japan  Radio Co., Ltd.",JP
000FF4,Guntermann & Drunck GmbH,DE
000FF8,"Cisco Systems, Inc",US
000FF5,GN&S company,KR
000FD7,Harman Music Group,US
000FD4,Soundcraft,GB
001114,EverFocus Electronics Corp.,TW
00110E,Tsurusaki Sealand Transportation Co. Ltd.,JP
00110D,"SANBlaze Technology, Inc.",US
000FA5,BWA Technology GmbH,DE
000FB2,Broadband Pacenet (India) Pvt. Ltd.,IN
001106,Siemens NV (Belgium),BE
000FAF,Dialog Inc.,JP
000F43,Wasabi Systems Inc.,US
000F48,Polypix Inc.,KR
000F50,StreamScale Limited,GB
000F47,ROBOX SPA,IT
000F4E,Cellink,BE
000F31,Allied Vision Technologies Canada Inc,CA
000F29,Augmentix Corporation,US
000F27,"TEAL Electronics, Inc.",US
000F8E,"DONGYANG TELECOM CO.,LTD.",KR
000F91,"Aerotelecom Co.,Ltd.",US
000F73,"RS Automation Co., Ltd",KR
000F78,Datacap Systems Inc,US
000F70,"Wintec Industries, inc.",US
000F87,Maxcess International,US
000F80,"Trinity Security Systems,Inc.",JP
000F5F,Nicety Technologies Inc. (NTS),JP
000F5A,Peribit Networks,US
000F74,Qamcom Technology AB,SE
000F6D,Midas Engineering,KR
000F3C,Endeleo Limited,GB
000F18,Industrial Control Systems,NL
000F1D,"Cosmo Techs Co., Ltd.",JP
000F1B,Ego Systems Inc.,KR
000F0F,"Real ID Technology Co., Ltd.",KR
000F16,"JAY HOW TECHNOLOGY CO.,",TW
000EF8,SBC ASI,US
000EF9,REA Elektronik GmbH,DE
000EF6,"E-TEN Information Systems Co., Ltd.",TW
000EEA,"Shadong Luneng Jicheng Electronics,Co.,Ltd",CN
000EAD,"Metanoia Technologies, Inc.",US
000EAF,CASTEL,FR
000EE6,Adimos Systems LTD,IL
000EC6,ASIX ELECTRONICS CORP.,TW
000EBF,Remsdaq Limited,GB
000EE0,Mcharge,KR
000EAB,Cray Inc,US
000E9F,TEMIC SDS GmbH,DE
000E92,Open Telecom,KR
000E96,"Cubic Defense Applications, Inc.",US
000E8E,"SparkLAN Communications, Inc.",TW
000E91,Navico Auckland Ltd,NZ
000E14,"Visionary Solutions, Inc.",US
000E1B,IAV GmbH,DE
000E0F,ERMME,FR
000E10,"C-guys, Inc.",JP
000E13,Accu-Sort Systems inc.,US
000E0A,SAKUMA DESIGN OFFICE,JP
000E7C,Televes S.A.,ES
000E73,Tpack A/S,DK
000E6E,MAT S.A. (Mircrelec Advanced Technology),GR
000E56,4G Systems GmbH & Co. KG,DE
000E55,AUVITRAN,FR
000E53,AV TECH CORPORATION,TW
000E66,"Hitachi Industry & Control Solutions, Ltd.",JP
000E68,E-TOP Network Technology Inc.,TW
000E33,"Shuko Electronics Co.,Ltd",JP
000E3A,Cirrus Logic,US
000E3B,"Hawking Technologies, Inc.",US
000E84,"Cisco Systems, Inc",US
000E87,adp Gauselmann GmbH,DE
000E75,New York Air Brake Corp.,US
000E48,Lipman TransAction Solutions,IL
000E3E,Sun Optronics Inc,JP
000E27,"Crere Networks, Inc.",KR
000E18,MyA Technology,US
000D9B,Heraeus Electro-Nite International N.V.,BE
000D8A,"Winners Electronics Co., Ltd.",KR
000D8E,"Koden Electronics Co., Ltd.",JP
000DCD,GROUPE TXCOM,FR
000DCF,Cidra Corp.,US
000DCA,Tait Electronics,NZ
000DDE,"Joyteck Co., Ltd.",TW
000DE2,CMZ Sistemi Elettronici,IT
000DDA,ALLIED TELESIS K.K.,IT
000DD6,ITI    LTD,IN
000DD5,"O'RITE TECHNOLOGY CO.,LTD",TW
000E0E,ESA elettronica S.P.A.,
000DFD,"Huges Hi-Tech Inc.,",TW
000DF9,NDS Limited,GB
000DFB,Komax AG,CH
000E00,Atrie,TW
000DF4,Watertek Co.,CN
000DFA,Micro Control Systems Ltd.,JP
000DFC,ITFOR Inc.,JP
000DFE,"Hauppauge Computer Works, Inc.",US
000DB8,SCHILLER AG,CH
000DC4,Emcore Corporation,US
000DEC,"Cisco Systems, Inc",US
000DF2,Private,
000DA0,NEDAP N.V.,NL
000D4F,Kenwood Corporation,JP
000D47,Collex,TW
000D43,DRS Tactical Systems Inc.,US
000D44,Audio BU - Logitech,US
000D3D,"Hammerhead Systems, Inc.",US
000D3E,APLUX Communications Ltd.,TW
000D5A,Tiesse SpA,IT
000D61,"Giga-Byte Technology Co., Ltd.",TW
000D36,"Wu Han Routon Electronic Co., Ltd",CN
000D3B,Microelectronics Technology Inc.,TW
000D1A,Mustek System Inc.,TW
000D1E,Control Techniques,GB
000D0D,"ITSupported, LLC",US
000D06,Compulogic Limited,GB
000D52,Comart system,KR
000D4A,Steag ETA-Optik,DE
000D7C,Codian Ltd,GB
000D6B,Mita-Teknik A/S,DK
000D71,boca systems,US
000D2D,NCT Deutschland GmbH,DE
000D7E,"Axiowave Networks, Inc.",US
000CA7,"Metro (Suzhou) Technologies Co., Ltd.",CN
000CA0,"StorCase Technology, Inc.",US
000CBE,Innominate Security Technologies AG,DE
000CBD,"Interface Masters, Inc",US
000CB2,"UNION co., ltd.",KR
000CB9,LEA,FR
000CB8,MEDION AG,DE
000C88,"Apache Micro Peripherals, Inc.",US
000C82,NETWORK TECHNOLOGIES INC,US
000C7C,Internet Information Image Inc.,TW
000D03,"Matrics, Inc.",US
000CFF,MRO-TEK Realty Limited,IN
000CFA,Digital Systems Corp,US
000CFD,"Hyundai ImageQuest Co.,Ltd.",KR
000CBB,ISKRAEMECO,SI
000CC0,Genera Oy,FI
000CA8,Garuda Networks Corporation,US
000CEB,"CNMP Networks, Inc.",US
000CD3,Prettl Elektronik Radeberg GmbH,DE
000CD7,Nallatech Ltd,GB
000CD4,Positron Public Safety Systems inc.,CA
000C99,"HITEL LINK Co.,Ltd",KR
000C89,"AC Electric Vehicles, Ltd.",FI
000CCC,Aeroscout Ltd.,IL
000CC7,Intelligent Computer Solutions Inc.,US
000C7B,"ALPHA PROJECT Co.,Ltd.",JP
000C77,Life Racing Ltd,GB
000C64,X2 MSA Group,GB
000C5A,IBSmm Embedded Electronics Consulting,DE
000C5E,Calypso Medical,US
000C61,AC Tech corporation DBA Advanced Digital,US
000C5F,"Avtec, Inc.",US
000C4B,Cheops Elektronik,DE
000C05,"RPA Reserch Co., Ltd.",US
000C27,Sammy Corporation,JP
000C2A,"OCTTEL Communication Co., Ltd.",TW
000C22,Double D Electronics Ltd,GB
000C1C,"MicroWeb Co., Ltd.",KR
000C69,National Radio Astronomy Observatory,US
000C66,Pronto Networks Inc,US
000C45,Animation Technologies Inc.,TW
000C3C,"MediaChorus, Inc.",KR
000C0F,"Techno-One Co., Ltd",JP
000C38,TelcoBridges Inc.,CA
000C4E,"Winbest Technology CO,LT",TW
000BC4,BIOTRONIK GmbH & Co,DE
000BAF,"WOOJU COMMUNICATIONS Co,.Ltd",KR
000BB6,Metalligence Technology Corp.,TW
000BB7,"Micro Systems Co.,Ltd.",JP
000BB3,RiT technologies Ltd.,IL
000BE6,Datel Electronics,GB
000BAE,Vitals System Inc.,KR
000BD9,General Hydrogen,CA
000BF2,"Chih-Kan Technology Co., Ltd.",TW
000BEB,Systegra AG,CH
000BEF,Code Corporation,US
000BDF,Shenzhen RouterD Networks Limited,CN
000BF5,"Shanghai Sibo Telecom Technology Co.,Ltd",CN
000BFE,CASTEL Broadband Limited,HK
000B7D,SOLOMON EXTREME INTERNATIONAL LTD.,TW
000B94,"Digital Monitoring Products, Inc.",US
000BAB,"Advantech Technology (CHINA) Co., Ltd.",CN
000BBA,"Harmonic, Inc",US
000B57,Silicon Laboratories,US
000B51,Micetek International Inc.,TW
000B53,"INITIUM Co., Ltd.",KR
000B6D,SOLECTRON JAPAN NAKANIIDA,JP
000B62,ib-mohnen KG,DE
000B64,Kieback & Peter GmbH & Co KG,DE
000B67,Topview Technology Corporation,TW
000B48,sofrel,FR
000AFB,Ambri Limited,AU
000AFF,Kilchherr Elektronik AG,CH
000B4A,Visimetrics (UK) Ltd,GB
000B37,MANUFACTURE DES MONTRES ROLEX SA,CH
000B2D,Danfoss Inc.,US
000B1E,KAPPA opto-electronics GmbH,DE
000B1C,SIBCO bv,NL
000AF8,American Telecare Inc.,US
000B17,MKS Instruments,US
000A9A,Aiptek International Inc,TW
000A94,"ShangHai cellink CO., LTD",US
000A97,"SONICblue, Inc.",US
000A92,Presonus Corporation,US
000A64,Eracom Technologies,AU
000A62,"Crinis Networks, Inc.",US
000A6A,SVM Microwaves s.r.o.,CZ
000A66,"MITSUBISHI ELECTRIC SYSTEM & SERVICE CO.,LTD.",JP
000AA3,"SHIMAFUJI ELECTRIC CO.,LTD.",JP
000AA7,FEI Electron Optics,NL
000AA6,Hochiki Corporation,JP
000AC7,Unication Group,TW
000ABF,HIROTA SS,JP
000ABC,Seabridge Ltd.,IL
000A70,MPLS Forum,US
000A72,"STEC, INC.",US
000A71,"Avrio Technologies, Inc",US
000ADE,"Happy Communication Co., Ltd.",KR
000AE2,"Binatone Electronics International, Ltd",HK
000AD4,CoreBell Systems Inc.,KR
000ACA,"YOKOYAMA SHOKAI CO.,Ltd.",JP
000ACE,"RADIANTECH, INC.",TW
000AAC,TerraTec Electronic GmbH,DE
000AB8,"Cisco Systems, Inc",US
000A85,"PLAT'C2,Inc",JP
000A83,SALTO SYSTEMS S.L.,ES
000A86,Lenze,DE
000A50,REMOTEK CORPORATION,TW
000A58,Freyer & Siegel Elektronik GmbH & Co. KG,DE
000A4E,UNITEK Electronics INC.,US
000A3D,Elo Sistemas Eletronicos S.A.,BR
000A46,ARO WELDING TECHNOLOGIES SAS,FR
0009F6,Shenzhen Eastern Digital Tech Ltd.,CN
000A01,"SOHOware, Inc.",US
0009EE,"MEIKYO ELECTRIC CO.,LTD",JP
000A31,HCV Consulting,AU
004252,RLX Technologies,US
000A20,"SVA Networks, Inc.",US
000A24,Octave Communications,US
000A19,"Valere Power, Inc.",US
0009E5,Hottinger Brüel & Kjaer GmbH,DE
0009DE,"Samjin Information & Communications Co., Ltd.",KR
0009E0,XEMICS S.A.,CH
0009CA,iMaxNetworks(Shenzhen)Limited.,CN
000A11,"ExPet Technologies, Inc",KR
000A0F,"Ilryung Telesys, Inc",KR
000A0C,Scientific Research Corporation,US
0009EC,"Daktronics, Inc.",US
0009E7,ADC Techonology,JP
0009CF,iAd GmbH,DE
000A3F,Data East Corporation,JP
000956,"Network Systems Group, Ltd. (NSG)",RU
000948,"Vista Control Systems, Corp.",US
000949,Glyph Technologies Inc.,US
0009B1,"Kanematsu Electronics, Ltd.",JP
0009B0,Onkyo Technology K.K.,JP
0009AB,Netcontrol Oy,FI
00099D,Haliplex Communications,AU
