OUI,Manufacturer,Country
7C6A8A,"SINOBONDER Technology Co., Ltd.",CN
90ECE3,Nokia,CA
887B2C,zte corporation,CN
60DBEF,Unify Software and Solutions GmbH & Co. KG,DE
0016F6,Nevion,NO
40B7FC,Phyplus Microelectronics Limited,CN
682C4F,leerang corporation,KR
68DDB7,"TP-LINK TECHNOLOGIES CO.,LTD.",CN
14D864,"TP-LINK TECHNOLOGIES CO.,LTD.",CN
B851A9,Nokia,CA
D077CE,Edgecore Networks Corporation,TW
ECAFF9,Hailo Technologies Ltd.,IL
FC59C0,Arista Networks,US
641B2F,"Samsung Electronics Co.,Ltd",KR
9C73B1,"Samsung Electronics Co.,Ltd",KR
388A06,"Samsung Electronics Co.,Ltd",KR
B0D888,"Panasonic Automotive Systems Co.,Ltd",JP
28EC22,eero inc.,US
40D4F6,"Honor Device Co., Ltd.",CN
7C3180,SMK corporation,JP
905607,"Sichuan AI-Link Technology Co., Ltd.",CN
483133,Robert Bosch Elektronika Kft.,HU
B8AB61,Cisco Meraki,US
40ED00,TP-Link Corporation Limited,HK
782DAD,"HUAWEI TECHNOLOGIES CO.,LTD",CN
D06158,"HUAWEI TECHNOLOGIES CO.,LTD",CN
244BF1,"HUAWEI TECHNOLOGIES CO.,LTD",CN
60152B,Palo Alto Networks,US
44D77E,Robert Bosch GmbH,DE
908855,"Cisco Systems, Inc",US
687161,"Cisco Systems, Inc",US
883F37,"UHTEK CO., LTD.",KR
0080B8,"DMG MORI Digital Co., LTD",JP
2873F6,Amazon Technologies Inc.,US
C4EBFF,zte corporation,CN
4893DC,UNIWAY INFOCOM PVT LTD,IN
5CE688,VECOS Europe B.V.,NL
5C2886,Inventec(Chongqing) Corporation,CN
D4BAFA,"GUANGDONG OPPO MOBILE TELECOMMUNICATIONS CORP.,LTD",CN
4CEC0F,"Cisco Systems, Inc",US
843E1D,"Hui Zhou Gaoshengda Technology Co.,LTD",CN
E0CB1D,Amazon Technologies Inc.,US
FC84A7,"Murata Manufacturing Co., Ltd.",JP
3CCB4D,"Avikus Co., Ltd",KR
601B52,Vodafone Italia S.p.A.,IT
24A42C,NETIO products a.s.,CZ
702F86,Marquardt GmbH,DE
C08F20,"Shenzhen Skyworth Digital  Technology  CO., Ltd",CN
08FF24,"Shenzhen Skyworth Digital  Technology  CO., Ltd",CN
90B67A,"Shenzhen Skyworth Digital  Technology  CO., Ltd",CN
249AC8,"Shenzhen Skyworth Digital  Technology  CO., Ltd",CN
A8881F,SERVERCOM (INDIA) PRIVATE LIMITED,IN
005079,Private,
28C01B,"Shenzhen Skyworth Digital  Technology  CO., Ltd",CN
E028B1,"Shenzhen Skyworth Digital  Technology  CO., Ltd",CN
303180,"Shenzhen Skyworth Digital  Technology  CO., Ltd",CN
201582,"Apple, Inc.",US
40921A,"Apple, Inc.",US
10E2C9,"Apple, Inc.",US
0436B8,I&C Technology,KR
D0431E,Dell Inc.,US
F0A0B1,"HUAWEI TECHNOLOGIES CO.,LTD",CN
404F42,"HUAWEI TECHNOLOGIES CO.,LTD",CN
3086F1,"Fiberhome Telecommunication Technologies Co.,LTD",CN
00C04F,Dell Inc.,US
00B0D0,Dell Inc.,US
0019B9,Dell Inc.,US
001AA0,Dell Inc.,US
002564,Dell Inc.,US
A4BADB,Dell Inc.,US
38A851,"Quickset Defense Technologies, LLC",US
00CB00,Private,
1100AA,Private,
9C93E4,Private,
782BCB,Dell Inc.,US
14FEB5,Dell Inc.,US
180373,Dell Inc.,US
74867A,Dell Inc.,US
204747,Dell Inc.,US
000BDB,Dell Inc.,US
00123F,Dell Inc.,US
A41F72,Dell Inc.,US
001C23,Dell Inc.,US
847BEB,Dell Inc.,US
989096,Dell Inc.,US
801844,Dell Inc.,US
9840BB,Dell Inc.,US
D481D7,Dell Inc.,US
F80DA9,Zyxel Communications Corporation,TW
54BF64,Dell Inc.,US
CCC5E5,Dell Inc.,US
4CD98F,Dell Inc.,US
DCF401,Dell Inc.,US
6C2B59,Dell Inc.,US
C8F750,Dell Inc.,US
98E743,Dell Inc.,US
185A58,Dell Inc.,US
D08E79,Dell Inc.,US
B44506,Dell Inc.,US
485A0D,Juniper Networks,US
E0D848,Dell Inc.,US
04BF1B,Dell Inc.,US
581031,"Hon Hai Precision IND.CO.,LTD",CN
AC919B,Wistron Neweb Corporation,TW
E03C1C,IEEE Registration Authority,US
000993,Visteon Corporation,US
EC41CA,"Shenzhen TecAnswer Technology co.,ltd",CN
148477,"New H3C Technologies Co., Ltd",CN
14962D,"New H3C Technologies Co., Ltd",CN
C4A64E,"Quectel Wireless Solutions Co.,Ltd.",CN
7066B9,"Huawei Device Co., Ltd.",CN
C4A1AE,"Huawei Device Co., Ltd.",CN
486F33,"KYUNGWOO.SYSTEM, INC.",KR
442063,Continental Automotive Technologies GmbH,DE
086195,Rockwell Automation,US
24BBC9,"Shenzhen SuperElectron Technology Co.,Ltd.",CN
0000BC,Rockwell Automation,US
FCD749,Amazon Technologies Inc.,US
A87116,Earda Technologies co Ltd,CN
E8EBDD,"Guangzhou Qingying Acoustics Technology Co., Ltd",CN
548C81,"Hangzhou Hikvision Digital Technology Co.,Ltd.",CN
244845,"Hangzhou Hikvision Digital Technology Co.,Ltd.",CN
0050CA,DZS Inc.,US
74EE8D,"Apollo Intelligent Connectivity (Beijing) Technology Co., Ltd.",CN
D858C6,Katch Asset Tracking Pty Limited,AU
2CC6A0,Lumacron Technology Ltd.,GB
ECC89C,"Hangzhou Hikvision Digital Technology Co.,Ltd.",CN
8CE748,"Hangzhou Hikvision Digital Technology Co.,Ltd.",CN
2428FD,"Hangzhou Hikvision Digital Technology Co.,Ltd.",CN
ACB92F,"Hangzhou Hikvision Digital Technology Co.,Ltd.",CN
D4E853,"Hangzhou Hikvision Digital Technology Co.,Ltd.",CN
240F9B,"Hangzhou Hikvision Digital Technology Co.,Ltd.",CN
C06DED,"Hangzhou Hikvision Digital Technology Co.,Ltd.",CN
2432AE,"Hangzhou Hikvision Digital Technology Co.,Ltd.",CN
E0BAAD,"Hangzhou Hikvision Digital Technology Co.,Ltd.",CN
E0CA3C,"Hangzhou Hikvision Digital Technology Co.,Ltd.",CN
DC07F8,"Hangzhou Hikvision Digital Technology Co.,Ltd.",CN
64DB8B,"Hangzhou Hikvision Digital Technology Co.,Ltd.",CN
94E1AC,"Hangzhou Hikvision Digital Technology Co.,Ltd.",CN
5803FB,"Hangzhou Hikvision Digital Technology Co.,Ltd.",CN
4447CC,"Hangzhou Hikvision Digital Technology Co.,Ltd.",CN
98DF82,"Hangzhou Hikvision Digital Technology Co.,Ltd.",CN
C056E3,"Hangzhou Hikvision Digital Technology Co.,Ltd.",CN
BCAD28,"Hangzhou Hikvision Digital Technology Co.,Ltd.",CN
88B6BD,"Flaircomm Microelectronics, Inc.",CN
2C9682,MitraStar Technology Corp.,TW
BC49B2,"SHENZHEN ALONG COMMUNICATION TECH CO., LTD",CN
9497AE,"GUANGDONG OPPO MOBILE TELECOMMUNICATIONS CORP.,LTD",CN
0CBD75,"GUANGDONG OPPO MOBILE TELECOMMUNICATIONS CORP.,LTD",CN
AC9073,"HUAWEI TECHNOLOGIES CO.,LTD",CN
000351,Diebold Nixdorf,US
F09FC2,Ubiquiti Inc,US
802AA8,Ubiquiti Inc,US
FC1D3A,"HUAWEI TECHNOLOGIES CO.,LTD",CN
E4BEFB,"HUAWEI TECHNOLOGIES CO.,LTD",CN
58F8D7,"HUAWEI TECHNOLOGIES CO.,LTD",CN
788A20,Ubiquiti Inc,US
7483C2,Ubiquiti Inc,US
E063DA,Ubiquiti Inc,US
245A4C,Ubiquiti Inc,US
602232,Ubiquiti Inc,US
E43883,Ubiquiti Inc,US
788CB5,TP-Link Corporation Limited,HK
84B59C,Juniper Networks,US
5C4527,Juniper Networks,US
EC3EF7,Juniper Networks,US
002159,Juniper Networks,US
00239C,Juniper Networks,US
50C58D,Juniper Networks,US
28C0DA,Juniper Networks,US
288A1C,Juniper Networks,US
B8EA98,Xiaomi Communications Co Ltd,CN
10C4CA,"HUMAX Co., Ltd.",KR
AC800A,Sony Corporation,JP
40A677,Juniper Networks,US
D818D3,Juniper Networks,US
F04B3A,Juniper Networks,US
C042D0,Juniper Networks,US
001BC0,Juniper Networks,US
44ECCE,Juniper Networks,US
CCE194,Juniper Networks,US
E45D37,Juniper Networks,US
94F7AD,Juniper Networks,US
784F9B,Juniper Networks,US
88D98F,Juniper Networks,US
78507C,Juniper Networks,US
F07CC7,Juniper Networks,US
000585,Juniper Networks,US
889009,Juniper Networks,US
00CC34,Juniper Networks,US
E030F9,Juniper Networks,US
204E71,Juniper Networks,US
D404FF,Juniper Networks,US
84C1C1,Juniper Networks,US
4C734F,Juniper Networks,US
D45A3F,Juniper Networks,US
04698F,Juniper Networks,US
58C935,"Chiun Mai Communication System, Inc",TW
7CE2CA,Juniper Networks,US
A4A528,"Sichuan Tianyi Comheart Telecom Co.,LTD",CN
E878EE,"New H3C Technologies Co., Ltd",CN
ECA7AD,"Barrot Technology Co.,Ltd.",CN
00302B,Inalp Solutions AG,CH
F0748D,"Ruijie Networks Co.,LTD",CN
48814E,"E&M SOLUTION CO,.Ltd",KR
7C4D8F,HP Inc.,US
9CCBF7,"CLOUD STAR TECHNOLOGY CO., LTD.",TW
74D558,"GUANGDONG OPPO MOBILE TELECOMMUNICATIONS CORP.,LTD",CN
F46412,Sony Interactive Entertainment Inc.,JP
3CF9F0,zte corporation,CN
6877DA,zte corporation,CN
8858BE,kuosheng.com,CN
44DBD2,"YEALINK(XIAMEN) NETWORK TECHNOLOGY CO.,LTD.",CN
E0DCA0,"Siemens Industrial Automation Products Ltd., Chengdu",CN
1C3B62,HMD Global Oy,FI
5C64F1,"Cisco Systems, Inc",US
9CDBAF,"HUAWEI TECHNOLOGIES CO.,LTD",CN
